"Constituency","Party","Sex","Average age"
"Satakunta constituency","KTP","Men",61.5
"Satakunta constituency","KTP","Women",-
"Satakunta constituency","Others","Men",-
"Satakunta constituency","Others","Women",-
"Häme constituency","KOK","Men",46.3
"Häme constituency","KOK","Women",41.5
"Häme constituency","SDP","Men",41.4
"Häme constituency","SDP","Women",42.6
"Häme constituency","PS","Men",50.9
"Häme constituency","PS","Women",45.7
"Häme constituency","KESK","Men",49.8
"Häme constituency","KESK","Women",47.3
"Häme constituency","VAS","Men",43.9
"Häme constituency","VAS","Women",40.1
"Häme constituency","VIHR","Men",51.2
"Häme constituency","VIHR","Women",41.8
"Häme constituency","RKP","Men",-
"Häme constituency","RKP","Women",-
"Häme constituency","KD","Men",51.6
"Häme constituency","KD","Women",56.0
"Häme constituency","STP","Men",-
"Häme constituency","STP","Women",-
"Häme constituency","IP","Men",49.8
"Häme constituency","IP","Women",65.3
"Häme constituency","Change2011","Men",43.7
"Häme constituency","Change2011","Women",38.0
"Häme constituency","KA","Men",-
"Häme constituency","KA","Women",-
"Häme constituency","Pirate Pty","Men",35.5
"Häme constituency","Pirate Pty","Women",43.0
"Häme constituency","SKP","Men",47.0
"Häme constituency","SKP","Women",57.0
"Häme constituency","KTP","Men",68.3
"Häme constituency","KTP","Women",-
"Häme constituency","Others","Men",-
"Häme constituency","Others","Women",-
"Pirkanmaa constituency","KOK","Men",45.5
"Pirkanmaa constituency","KOK","Women",42.6
"Pirkanmaa constituency","SDP","Men",47.3
"Pirkanmaa constituency","SDP","Women",41.9
"Pirkanmaa constituency","PS","Men",45.6
"Pirkanmaa constituency","PS","Women",44.0
"Pirkanmaa constituency","KESK","Men",48.3
"Pirkanmaa constituency","KESK","Women",47.0
"Pirkanmaa constituency","VAS","Men",46.2
"Pirkanmaa constituency","VAS","Women",46.5
"Pirkanmaa constituency","VIHR","Men",40.5
"Pirkanmaa constituency","VIHR","Women",41.5
"Pirkanmaa constituency","RKP","Men",-
"Pirkanmaa constituency","RKP","Women",-
"Pirkanmaa constituency","KD","Men",49.2
"Pirkanmaa constituency","KD","Women",49.8
"Pirkanmaa constituency","STP","Men",63.0
"Pirkanmaa constituency","STP","Women",-
"Pirkanmaa constituency","IP","Men",42.6
"Pirkanmaa constituency","IP","Women",34.3
"Pirkanmaa constituency","Change2011","Men",34.3
"Pirkanmaa constituency","Change2011","Women",-
"Pirkanmaa constituency","KA","Men",-
"Pirkanmaa constituency","KA","Women",-
"Pirkanmaa constituency","Pirate Pty","Men",33.2
"Pirkanmaa constituency","Pirate Pty","Women",32.5
"Pirkanmaa constituency","SKP","Men",36.6
"Pirkanmaa constituency","SKP","Women",47.6
"Pirkanmaa constituency","KTP","Men",62.5
"Pirkanmaa constituency","KTP","Women",-
"Pirkanmaa constituency","Others","Men",67.5
"Pirkanmaa constituency","Others","Women",60.4
"Southeast Finlands constituency","KOK","Men",42.1
"Southeast Finlands constituency","KOK","Women",41.3
"Southeast Finlands constituency","SDP","Men",45.4
"Southeast Finlands constituency","SDP","Women",43.7
"Southeast Finlands constituency","PS","Men",52.0
"Southeast Finlands constituency","PS","Women",40.0
"Southeast Finlands constituency","KESK","Men",45.3
"Southeast Finlands constituency","KESK","Women",39.7
"Southeast Finlands constituency","VAS","Men",44.2
"Southeast Finlands constituency","VAS","Women",40.2
"Southeast Finlands constituency","VIHR","Men",33.3
"Southeast Finlands constituency","VIHR","Women",39.9
"Southeast Finlands constituency","RKP","Men",59.0
"Southeast Finlands constituency","RKP","Women",64.0
"Southeast Finlands constituency","KD","Men",50.0
"Southeast Finlands constituency","KD","Women",45.9
"Southeast Finlands constituency","STP","Men",-
"Southeast Finlands constituency","STP","Women",79.0
"Southeast Finlands constituency","IP","Men",55.4
